N	dispense|distribute	dispense は機械や薬剤師が「出す・調剤する」（a vending machine dispenses drinks）。distribute は大勢に「配る・分配する」
N	administer|dispense	dispense は薬を「調合して渡す」。administer は薬や治療を「施す」や、組織を「管理する」
N	collect|dispense	dispense は「配って出す」、collect は「集める」
N	annoy|displease	displease は人を「不快にさせる」かたい語。annoy は「いらいらさせる」のふつうの語
N	displease|offend	displease は「不愉快にさせる」。offend は言葉などで「気分を害する・怒らせる」と強い
N	displease|please	displease は「不快にする」、please は動詞で「喜ばせる」（副詞「どうぞ」とは使い方がちがう）
N	disprove|refute	disprove は証拠で「まちがいだと示す」。refute は議論で「論破する・言い返す」
N	disprove|rebut	disprove は「反証する」。rebut は相手の主張に「反論する」かたい語
N	disprove|prove	disprove は「反証する」、prove は「証明する」
N	dissolve|melt	dissolve は砂糖などが液体に「溶ける」。melt は氷などが熱で「とける」
N	disband|dissolve	dissolve は議会や会社を「解散する」かたい語。disband は団体やバンドが「解散する」
N	dissolve|solidify	dissolve は「溶ける」、solidify は「固まる」
I	dissolve|curr_idm_3_break_up	break up は人やグループが「別れる・解散する」話し言葉。dissolve は議会などを「解散する」かたい語
N	distaste|liking	distaste は「いやだと思う気持ち」、liking は「好み」
N	distrust|suspect	distrust は相手を「信用しない」。suspect は「(〜ではないかと)疑う・怪しむ」
N	distrust|trust	distrust は「信用しない」、trust は「信頼する」
N	ditch|trench	ditch は道ばたや畑の「溝・どぶ」。trench は深く長い「溝」や、戦争の「塹壕（ざんごう）」
N	ditch|gutter	ditch は土を掘った「溝」。gutter は道のわきの「側溝」や屋根の「雨どい」
N	diverge|split	diverge は道や意見が「分かれる・それる」かたい語。split は「割れる・分裂する」
N	distraction|diversion	diversion は退屈を忘れる「気晴らし」。distraction は注意を「そらすもの」（勉強のじゃまなど）
N	divert|redirect	divert は川や交通の流れを「別の方へ向ける」。redirect はメールや荷物を「転送する・向け直す」
N	distract|divert	divert は注意を「そらす」や「気晴らしさせる」。distract は集中しているのを「じゃまする」
N	divine|sacred	divine は神そのものの「神の・神々しい」。sacred は神にささげられた「神聖な」
N	divorce|separation	divorce は法律上の「離婚」。separation は夫婦の「別居」や「分離」
N	divorce|split	divorce は「離婚」。split は恋人やグループの「別れ・分裂」のくだけた語
N	divorce|marriage	divorce は「離婚」、marriage は「結婚」
N	dock|wharf	dock は船をつける「波止場」や船の修理をする「ドック」。wharf は荷を積み下ろす「埠頭（ふとう）」
N	dock|pier	dock は船が着く「波止場」。pier は海に突き出た「桟橋」
N	doctrine|principle	doctrine は宗教や政治の「教え・主義」。principle は考えの「原則・原理」
N	belief|doctrine	doctrine は団体が教える「教義」。belief は個人の「信念・信仰」
N	cupola|dome	dome は大きな「丸屋根・ドーム」。cupola は屋根の上の小さな「丸い塔」
N	dome|vault	dome は半球形の「丸屋根」。vault はアーチ形の「丸天井」や銀行の「金庫室」
N	domestic|foreign	domestic は「国内の」、foreign は「外国の」
N	domestic|international	domestic は「国内の」（domestic flights）、international は「国際的な」
N	dominance|supremacy	dominance は他より強い「優位・支配」。supremacy は並ぶもののない「最高の地位・覇権」
N	control|dominance	dominance は力で上に立つ「優勢」。control は「管理・支配」と広く言う
N	dominance|subordination	dominance は「支配」、subordination は「従属」
N	doorstep|threshold	doorstep は玄関の前の「戸口の段」。threshold は戸口の「敷居」や、物事の「始まり・限界」
